Item Number – 8 digit,NDC Number,Size Qty,Retail Pack Quantity,AWP Price,Acquisition Price,Retail Price,WAC Price,Contract Flag,Generic Name,Form,Name,Size,%,MCG,M,IU,MEQ,UN,HR,MMOL,BP,CAL,USP,MU,Total_MG,Total_ML,Total_MM
10083481,00023324001,2X15    ,1,0,1293,1940,1363,C,carboxymethylcellulos/glycerin,,REFRESH OPTIVE DROP,2X15ML,,,,,,,,,,,,,,15.0,
10083482,00023079801,2X15    ,1,1483,1360,2040,1236,N,carboxymethylcellulose sodium ,,REFRESH TEARS DROP,2X15ML,,,,,,,,,,,,,,15.0,
10083491,68382011714,60      ,1,72001,766,0,1077,C,risperidone,ORAL TABLET 4 MG,RISPERIDONE,4 MG TAB 60,,,,,,,,,,,,,4.0,,
10000184,61314022615,15      ,1,4200,1415,0,1532,N,timolol maleate,OPHTHALMIC DRO,TIMOLOL O/S,0.25 % DRP 15 ML,0.25,,,,,,,,,,,,,15.0,
10083492,00487030101,30X3    ,1,4781,1494,0,3984,C,albuterol sulfate,INHALATION V,ALBUTEROL SUL,0.63 MG INH 30X3,,,,,,,,,,,,,0.63,,
10000189,60505025103,150     ,1,18328,2308,0,2499,N,tizanidine,HCl ORAL TABLET 2 M,TIZANIDINE,2 MG TAB 150,,,,,,,,,,,,,2.0,,
10083500,62856024730,30      ,1,54288,41771,0,45240,N,donepezil,HCl ORAL TABLET 23 M,ARICEPT,23 MG TAB 30,,,,,,,,,,,,,23.0,,
10000195,60505025203,150     ,1,21976,758,0,3049,C,tizanidine,HCl ORAL TABLET 4 M,TIZANIDINE,4 MG TAB 150,,,,,,,,,,,,,4.0,,
10000203,51672130901,15      ,1,6148,3527,0,4919,C,betamethasone dipropionate,TOP,BETAMETHASONE DIP AUG,0.05% GE,0.05,,,,,,,,,,,,,,
10095189,51672300302,28.35   ,1,967,163,0,290,C,hydrocortisone,TOPICAL CREAM (,HYDROCORTISONE,2.5% CRM 28.35,2.5,,,,,,,,,,,,,,
10083510,00054027803,9       ,1,26541,853,0,9856,C,naratriptan,HCl ORAL TABLET 1,NARATRIPTAN,1 MG TAB 9,,,,,,,,,,,,,1.0,,
10083511,00054027903,9       ,1,26541,2912,0,9856,C,naratriptan,HCl ORAL TABLET 2.,NARATRIPTAN,2.5 MG TAB 9,,,,,,,,,,,,,2.5,,
10000215,10542001409,90      ,1,3120,2581,0,2795,N,folic acid/,B cplx/C/selen/zinc,DIALYVITE,3K MULT VIT TAB 90,,,,,,,,,,,,,,,
10000216,61314022605,5       ,1,1500,236,0,517,C,timolol maleate,OPHTHALMIC DRO,TIMOLOL O/S,0.25 % DRP 5 ML,0.25,,,,,,,,,,,,,5.0,
10000217,61314022705,5       ,1,1700,425,0,965,C,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.5% O/S 5 ML,0.5,,,,,,,,,,,,,5.0,
10000235,00597004237,30      ,1,16830,12950,0,14025,N,telmisartan/hydrochlorothiazid,,MICARDIS HCT,80-25MG TAB (3X10,,,,,,,,,,,,,25.0,,
10000237,00597004437,30      ,1,16830,12950,0,14025,N,telmisartan/hydrochlorothiazid,,MICARDIS HCT,80-12.5 MG TAB 30,,,,,,,,,,,,,12.5,,
10000239,00597004137,30      ,1,16830,12950,0,14025,N,telmisartan,ORAL TABLET 80 MG,MICARDIS,80 MG TAB 30,,,,,,,,,,,,,80.0,,
10000240,00121472215,40X15   ,40,19301,12873,483,16084,C,senna leaf extract,ORAL SYRUP,SENNA,528 MG SYR 40X15 ML UD,,,,,,,,,,,,,528.0,15.0,
10000262,24385041396,6       ,1,359,169,254,153,N,calamine/zinc oxide,TOPICAL LO,GNP CALAMINE PLAIN LIQ,6 OZ,,,,,,,,,,,,,170097.0,,
10000263,60432006500,100     ,1,8643,5746,0,6914,C,amoxicillin/potassium clav,ORA,AMOXICILLN-CLAV,250-62.5MG-5ML,,,,,,,,,,,,,62.5,5.0,
10000264,00536302934,20      ,1,1199,602,903,899,C,nicotine polacrilex,BUCCAL GUM,NICOTINE GUM,2MG REGULAR 20CT,,,,,,,,,,,,,2.0,,
10000268,60432006575,75      ,1,6473,4781,0,5178,N,amoxicillin/potassium clav,ORA,AMOXICILLIN-CLAV,250-62.5MG-5M,,,,,,,,,,,,,62.5,,
10000272,60758080205,5       ,1,358,276,0,298,N,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.25 % O/S 5 ML,0.25,,,,,,,,,,,,,5.0,
10000274,60432006547,150     ,1,12700,8443,0,10160,C,amoxicillin/potassium clav,ORA,AMOXICILLN-CLAV,250-62.5MG-5ML,,,,,,,,,,,,,62.5,5.0,
10000275,00597004337,30      ,1,16830,12950,0,14025,N,telmisartan/hydrochlorothiazid,,MICARDIS HCT,40-12.5MG TAB 30,,,,,,,,,,,,,12.5,,
10000279,00777310530,30      ,1,64116,49332,0,53430,N,fluoxetine,HCl ORAL CAPSULE 20,PROZAC,20 MG CAP 30,,,,,,,,,,,,,20.0,,
10000281,00395004966,6       ,1,834,567,851,603,C,ammonium alum,MISCELL POWDER,ALUM AMMONIUM USP POWDER,6OZ H,,,,,,,,,,,,,170097.0,,
10000284,60758080210,10      ,1,744,573,0,620,N,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.25 % O/S 10 ML,0.25,,,,,,,,,,,,,10.0,
10000291,00597004037,30      ,1,16830,12950,0,14025,N,telmisartan,ORAL TABLET 40 MG,MICARDIS,40 MG TAB 30 UD,,,,,,,,,,,,,40.0,,
10000294,98669000201,1       ,1,13536,517,776,470,N,glycerin,MUCOUS MEM SPRAY 35 %,OASIS DRY MOUTH SPRAY,1OZ,,,,,,,,,,,,,28349.5,,
10000297,00054006344,30      ,1,16767,2770,0,3000,N,risperidone,ORAL SOLUTION 1 MG,RISPERIDONE,1 MG-ML SOL 30 ML,,,,,,,,,,,,,1.0,30.0,
10000301,61703033922,15      ,1,2789,2071,0,2324,C,carboplatin,INTRAVEN VIAL 10 M,CARBOPLATIN,150 MG MDV 15 ML,,,,,,,,,,,,,150.0,15.0,
10000304,24385032521,3       ,1,0,125,188,113,N,sodium chloride,NASAL SPRAY 0.,GNP NASAL MOISTURE SPRAY SALIN,,,,,,,,,,,,,,,,
10000305,68382000301,100     ,1,21100,1710,0,3375,C,azathioprine,ORAL TABLET 50 MG,AZATHIOPRINE,50 MG TAB 100,,,,,,,,,,,,,50.0,,
10000309,00049496030,30      ,1,49585,38152,0,41321,N,sertraline,HCl ORAL TABLET 25,ZOLOFT,25 MG TAB 30,,,,,,,,,,,,,25.0,,
10000312,60758080105,5       ,1,656,506,0,547,N,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.5% O/S 5 ML,0.5,,,,,,,,,,,,,5.0,
10000313,00049490030,30      ,1,49585,38152,0,41321,N,sertraline,HCl ORAL TABLET 50,ZOLOFT,50 MG TAB 30,,,,,,,,,,,,,50.0,,
10000314,60758080110,10      ,1,962,740,0,801,N,timolol maleate,OPHTHALMIC DRO,TIMOLOL,0.5% OPH DRP 10 ML,0.5,,,,,,,,,,,,,10.0,
10000320,61703033950,45      ,1,5657,4305,0,4714,C,carboplatin,INTRAVEN VIAL 10 M,CARBOPLATIN,450 MG MDV 45 ML,,,,,,,,,,,,,450.0,45.0,
10000322,61703033918,5       ,1,1608,1200,0,1340,C,carboplatin,INTRAVEN VIAL 10 M,CARBOPLATIN,50 MG MDV 5 ML,,,,,,,,,,,,,50.0,5.0,
10000328,00049491030,30      ,1,49585,38152,0,41321,N,sertraline,HCl ORAL TABLET 100,ZOLOFT,100 MG TAB 30,,,,,,,,,,,,,100.0,,
10000336,00436093616,16      ,1,1386,1485,2228,1350,N,sodium hypochlorite,MISCELL SO,DAKINS ANTISEPTIC SOLUTION,0.2,,,,,,,,,,,,,,,
10000339,00378267093,30      ,1,5026,4039,0,4374,N,phenytoin sodium extended,ORAL,PHENYTEK,200 MG ER CAP 30,,,,,,,,,,,,,200.0,,
10000340,00409909332,10X2    ,1,2142,527,0,1785,C,fentanyl citrate/,PF INJECTION,FENTANYL CIT PF,0.05 MG/ML AMP,,,,,,,,,,,,,0.05,,
10000344,50458009801,100     ,1,130986,100783,0,109155,N,pentosan polysulfate sodium,OR,ELMIRON,100 MG CAP 100,,,,,,,,,,,,,100.0,,
10000345,00096070760,60      ,1,1392,1102,0,1160,N,aluminum chloride,TOPICAL SOLU,DRYSOL,20 % SOL 60 ML,20.0,,,,,,,,,,,,,60.0,
10000349,00169406012,2X3     ,1,89345,68744,0,74454,N,liraglutide,SUBCUT PEN INJCTR,VICTOZA PEN,18 MG PFP 2X3 ML,,,,,,,,,,,,,18.0,3.0,
10000350,00703398601,20      ,1,12000,9233,0,10000,N,oxaliplatin,INTRAVEN VIAL 100M,OXALIPLATIN,100 MG SDV 20 ML,,,,,,,,,,,,,100.0,20.0,
10000352,00703398501,10      ,1,6000,4617,0,5000,N,oxaliplatin,INTRAVEN VIAL 50 M,OXALIPLATIN,50 MG SDV 10 ML,,,,,,,,,,,,,50.0,10.0,
10000356,00169406013,3X3     ,1,134017,103116,0,111681,N,liraglutide,SUBCUT PEN INJCTR,VICTOZA PEN,18MG/3ML INJ 3X3 M,,,,,,,,,,,,,18.0,3.0,
10000359,00270044535,24X30   ,1,69617,16698,0,63815,C,"diatrizoate meglumine, sodium ",,GASTROGRAFIN LEMON SOL,24X30 M,,,30.0,,,,,,,,,,,,
10083528,00093005305,500     ,1,37404,2348,0,2543,N,buspirone,HCl ORAL TABLET 5 MG,BUSPIRONE HCL,5 MG TAB 500,,,,,,,,,,,,,5.0,,
10083581,58468013202,90      ,1,192757,148311,0,160631,N,sevelamer carbonate,ORAL POWD,RENVELA ORAL SUS,0.8 GM PKT 90,,,,,,,,,,,,,800.0,,
10000387,68382024705,500     ,1,50444,5530,0,10443,C,benzonatate,ORAL CAPSULE 100 M,BENZONATATE,100 MG CAP 500,,,,,,,,,,,,,100.0,,
10000389,68382024701,100     ,1,10133,2030,0,2198,N,benzonatate,ORAL CAPSULE 100 M,BENZONATATE,100 MG CAP 100,,,,,,,,,,,,,100.0,,
10000390,50458056001,0.25    ,1,66958,52769,0,55798,C,paliperidone palmitate,INTRAMU,INVEGA SUSTEN,39 MG SYG 0.25 M,,,,,,,,,,,,,39.0,,
10000391,23155000101,100     ,1,4115,410,0,443,N,hydralazine,HCl ORAL TABLET 10,HYDRALAZINE,10 MG TAB 100,,,,,,,,,,,,,10.0,,
10083595,68462029735,30      ,1,8788,369,0,2708,C,ciclopirox olamine,TOPICAL CRE,CICLOPIROX,0.77% CRM 30 GM,0.77,,,,,,,,,,,,30000.0,,
10000392,00338081104,14X1000 ,1,18860,4608,0,15717,C,potassium chloride in,LR-D5 IN,KCL-DEXT-LACT,20 MEQ-5% BAG 14,5.0,,,,20.0,,,,,,,,,,
10083596,68462029792,90      ,1,21260,646,0,6485,C,ciclopirox olamine,TOPICAL CRE,CICLOPIROX,0.77% CRM 90 GM,0.77,,,,,,,,,,,,90000.0,,
10000394,00409233934,10X4    ,1,10900,7747,0,9083,C,labetalol,HCl INTRAVEN CARTRID,LABETALOL HCL,20 MG-4 ML CJ LL,,,,,,,,,,,,,20.0,4.0,
10000399,50458056101,0.50    ,1,133921,105541,0,111601,C,paliperidone palmitate,INTRAMU,INVEGA SUSTEN,78 MG SYG 0.50 M,,,,,,,,,,,,,78.0,,
10083597,68462029717,15      ,1,4918,203,0,1537,C,ciclopirox olamine,TOPICAL CRE,CICLOPIROX,0.77% CRM 15 GM,0.77,,,,,,,,,,,,15000.0,,
10000406,23155000110,1000    ,1,40323,3684,0,3990,N,hydralazine,HCl ORAL TABLET 10,HYDRALAZINE,10 MG TAB 1000,,,,,,,,,,,,,10.0,,
10000413,50458056201,0.75    ,1,200885,158314,0,167404,C,paliperidone palmitate,INTRAMU,INVEGA SUSTEN,117 MG SYG 0.75,,,,,,,,,,,,,117.0,,
10000415,50458056301,1       ,1,267857,211094,0,223214,C,paliperidone palmitate,INTRAMU,INVEGA SUSTEN,156 MG PFS 1 ML,,,,,,,,,,,,,156.0,1.0,
10083583,65162068784,30      ,1,4803,2914,0,3155,N,lorazepam,ORAL ORAL CONC 2 MG/,LORAZEPAM,2 MG-ML ORAL CON 30,,,,,,,,,,,,,2.0,,
10083586,42192011515,150     ,1,37195,19592,0,25830,C,urea,TOPICAL FOAM 35 %,UREA,35 % FOM 150 GM,35.0,,,,,,,,,,,,150000.0,,
10000428,23155000401,100     ,1,10130,1313,0,1421,N,hydralazine,HCl ORAL TABLET 10,HYDRALAZINE,100 MG TAB 100,,,,,,,,,,,,,100.0,,
10000436,50458056401,1.5     ,1,401774,316632,0,334812,C,paliperidone palmitate,INTRAMU,INVEGA SUSTEN,234 MG SYG 1.5 M,,,,,,,,,,,,,234.0,,
10000441,68382013606,30      ,1,6788,200,0,569,C,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,50 MG TAB 3,,,,,,,,,,,,,50.0,,
10083574,25021014499,        ,1,6720,2309,0,5600,C,ampicillin sod/sulbactam sod,I,AMPICILLIN-SULBACTAM,15 GM VL,,,,,,,,,,,,,15000.0,,
10083575,25021014220,10      ,1,6600,3717,0,5500,C,ampicillin sod/sulbactam sod,I,AMPICILLIN-SULBACTAM,1.5 GM VL,,,,,,,,,,,,,1500.0,,
10083576,25021014330,10      ,1,10800,8125,0,9000,C,ampicillin sod/sulbactam sod,I,AMPICILLIN-SULBACTAM,3 GM VL 1,,,,,,,,,,,,,3000.0,,
10000452,41100082033,15      ,1,926,850,1275,772,N,oxymetazoline,HCl NASAL MIST 0,AFRIN SPRAY NO DRIP SEVR CONG ,,,,,,,,,,,,,,,,
10000467,00071374066,100     ,1,16579,12757,0,13816,N,phenytoin sodium extended,ORAL,DILANTIN,30 MG CAP 100,,,,,,,,,,,,,30.0,,
10000483,00088216130,30      ,1,179338,137986,0,149448,N,leflunomide,ORAL TABLET 20 MG,ARAVA,20 MG TAB 30,,,,,,,,,,,,,20.0,,
10000487,58914079010,100     ,1,117114,90110,0,97595,N,ursodiol,ORAL TABLET 500 MG,URSO FORTE,500 MG TAB 100,,,,,,,,,,,,,500.0,,
10083640,68084044901,100     ,1,22298,5688,0,19814,C,tacrolimus,ORAL CAPSULE 0.5 MG,TACROLIMUS,0.5 MG CAP 100 UD A,,,,,,,,,,,,,0.5,,
10091630,68382013710,1000    ,1,308189,8718,0,25753,C,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,100 MG TAB,,,,,,,,,,,,,100.0,,
10083641,68084045001,100     ,1,44595,8345,0,14950,C,tacrolimus,ORAL CAPSULE 1 MG,TACROLIMUS,1 MG CAP 100 UD AHP,,,,,,,,,,,,,1.0,,
10083642,68084045101,100     ,1,222975,53381,0,119565,C,tacrolimus,ORAL CAPSULE 5 MG,TACROLIMUS,5 MG CAP 100 UD AHP,,,,,,,,,,,,,5.0,,
10000500,99207046330,30      ,1,7500,5771,0,6250,N,minocycline,HCl ORAL TAB ER 24,SOLODYN,65 MG ER TAB 30,,,,,,,,,,,,,65.0,,
10000506,00591354125,250     ,1,46924,5551,0,6750,C,bupropion,HCl ORAL TAB SR 12H,BUPROPION HCL SR,150 MG ER TAB,,,,,,,,,,,,,150.0,,
10000512,65862014990,90      ,1,28140,547,0,1200,C,finasteride,ORAL TABLET 5 MG,FINASTERIDE,5 MG TAB 90,,,,,,,,,,,,,5.0,,
10000513,00088216030,30      ,1,179338,137986,0,149448,N,leflunomide,ORAL TABLET 10 MG,ARAVA,10 MG TAB 30,,,,,,,,,,,,,10.0,,
10000516,28785010150,        ,1,1634,1499,2249,1499,N,vaporizer,MISCELL EACH,VAPORIZER V,150 W/LIGHT 1.5GAL,,,,,,,,,,,,,,5678.115,
10000524,63824007214,14      ,1,0,1463,2195,1330,N,guaifenesin/dextromethorphan,O,MUCINEX DM MAX STRENGTH TABLET,,,,,,,,,,,,,,,,
10000527,63824002335,14      ,1,1453,1333,2000,1211,N,guaifenesin,ORAL TAB ER 12H 12,MUCINEX MAX STRENGTH TABLET,14,,,,,,,,,,,,,,,
10000529,00641141035,25X2    ,1,16500,12673,0,13750,C,digoxin,INJECTION AMPUL 250 MC,DIGOXIN,500 MCG-2 ML AMP 25X2,,500.0,,,,,,,,,,,,2.0,
10083677,65597011630,30      ,1,45612,35095,0,38010,N,olmesartan/amlodipin/hcthiazid,,TRIBENZOR,40-5-25 MG TAB 30,,,,,,,,,,,,,25.0,,
10000585,00487990401,30X1X3  ,1,4781,1519,0,3984,C,albuterol sulfate,INHALATION V,ALBUTEROL SUL,1.25 MG VL 30X1X,,,,,,,,,,,,,1.25,,
10000588,00487930133,30X3    ,1,450,630,0,900,C,sodium chloride for inhalation,,SODIUM CHLORIDE,0.9% INH VL 30,0.9,,,,,,,,,,,,,,
10000589,44087903001,        ,1,173887,139835,0,144906,N,"follitropin alfa, recombinant ",,GONAL-F,450 IU MDV,,,,450.0,,,,,,,,,,,
10000595,45802022137,60      ,1,5410,3246,0,3515,N,fluticasone propionate,TOPICAL,FLUTICASONE PROP,0.005% ONT 60,0.005,,,,,,,,,,,,,,
10000605,45802022111,30      ,1,3430,2055,0,2225,N,fluticasone propionate,TOPICAL,FLUTICASONE PROP,0.005% ONT 30,0.005,,,,,,,,,,,,,,
10000608,00046110511,28      ,1,28172,21677,0,23477,N,"estrogen,con/m-progest acet",OR,PREMPRO,0.3/1.5MG TAB 28,,,,,,,,,,,,,1.5,,
10000609,45802022135,15      ,1,2225,1335,0,1445,N,fluticasone propionate,TOPICAL,FLUTICASONE PROP,0.005% ONT 15,0.005,,,,,,,,,,,,,,
10000610,60505001608,500     ,1,69703,24094,0,43938,C,diltiazem,HCl ORAL CAP ER DEG,DILTIAZEM HCL,240 MG ER CAP 50,,,,,,,,,,,,,240.0,,
10000611,00046110611,28      ,1,28172,21677,0,23477,N,"estrogen,con/m-progest acet",OR,PREMPRO,0.45/1.5MG TAB 28,,,,,,,,,,,,,1.5,,
10000620,00054013749,100     ,1,37457,16755,0,29964,C,galantamine,HBr ORAL SOLUTION,GALANTAMINE,4 MG-ML SOL 100 ML,,,,,,,,,,,,,4.0,100.0,
10000621,45802022237,60      ,1,5410,915,0,3515,C,fluticasone propionate,TOPICAL,FLUTICASONE PROP,0.05% CRM 60,0.05,,,,,,,,,,,,,,
10000625,50242013501,4       ,1,63739,51257,0,53116,N,tocilizumab,INTRAVEN VIAL 80 M,ACTEMRA,80 MG SDV 4 ML,,,,,,,,,,,,,80.0,4.0,
10000626,50242013601,10      ,1,159349,128144,0,132791,N,tocilizumab,INTRAVEN VIAL 200M,ACTEMRA,200 MG SDV 10 ML,,,,,,,,,,,,,200.0,10.0,
10000629,45802022211,30      ,1,3430,402,0,2225,C,fluticasone propionate,TOPICAL,FLUTICASONE PROP,0.05% CRM 30,0.05,,,,,,,,,,,,,,
10000632,50242013701,20      ,1,318698,256287,0,265582,N,tocilizumab,INTRAVEN VIAL 400M,ACTEMRA,400 MG SDV 20 ML,,,,,,,,,,,,,400.0,20.0,
10000633,45802022235,15      ,1,2225,324,0,1445,C,fluticasone propionate,TOPICAL,FLUTICASONE PROP,0.05% CRM 15,0.05,,,,,,,,,,,,,,
10000635,00338068304,14X1000 ,1,17202,4884,0,14335,C,potassium chloride in,D5W INTR,POTASSIUM CHL-D,5 20 MEQ BAG 14,,,,,20.0,,,,,,,,,,
10000637,50580077925,25      ,1,2081,1908,2862,1734,N,cetirizine,HCl ORAL CAPSULE 10,ZYRTEC OTC,10MG LIQUIGEL 25CT,,,,,,,,,,,,,10.0,,
10000644,00450020431,12      ,1,0,1334,2001,1212,N,cetirizine,HCl ORAL CAPSULE 10,ZYRTEC OTC,10MG LIQUIGEL 12CT,,,,,,,,,,,,,10.0,,
10091579,68382013716,90      ,1,27736,2140,0,2317,N,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,100 MG TAB,,,,,,,,,,,,,100.0,,
10091577,68382013616,90      ,1,20363,1576,0,1706,N,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,50 MG TAB 9,,,,,,,,,,,,,50.0,,
10083538,25021011199,10      ,1,60000,20978,0,50000,C,cefoxitin sodium,INTRAVEN VIAL,CEFOXITIN,10 GM VL 10,,,,,,,,,,,,,10000.0,,
10000652,00338004304,14X1000 ,1,9646,2789,0,8038,C,sodium chloride 0.45 %,INTRAVE,SODIUM CHLORIDE,0.45% INJ BAG,0.45,,,,,,,,,,,,,,
10000653,00338004904,14X1000 ,1,8270,2580,0,6892,C,0.9 % sodium chloride,INTRAVEN,SODIUM CHLORIDE,0.9% IV BAG 14,0.9,,,,,,,,,,,,,,
10000657,60505001606,100     ,1,14325,4949,0,9250,C,diltiazem,HCl ORAL CAP ER DEG,DILTIAZEM HCL,240 MG ER CAP 10,,,,,,,,,,,,,240.0,,
10000677,49502090230,30      ,1,245141,188616,0,204284,N,selegiline,TRANSDERM PATCH TD2,EMSAM,24HR 12 MG PAT 30,,,,,,,24.0,,,,,,12.0,,
10000679,51079002320,100     ,1,32853,17237,0,27377,C,metolazone,ORAL TABLET 2.5 MG,METOLAZONE,2.5 MG TAB 100 UD I,,,,,,,,,,,,,2.5,,
10091575,68382013516,90      ,1,15143,1169,0,1266,N,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,25 MG TAB 9,,,,,,,,,,,,,25.0,,
10000681,00781340995,10      ,1,107773,63685,0,68975,N,ampicillin sodium,INJECTION VI,AMPICILLIN,10 GM VL 10,,,,,,,,,,,,,10000.0,,
10091578,68382013610,1000    ,1,226254,17461,0,18911,N,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,50 MG TAB 1,,,,,,,,,,,,,50.0,,
10000683,00781340095,10      ,1,5220,3022,0,3341,C,ampicillin sodium,INJECTION VI,AMPICILLIN,125 MG VL 10,,,,,,,,,,,,,125.0,,
10091576,68382013510,1000    ,1,168251,12985,0,14063,N,losartan potassium,ORAL TABLET,LOSARTAN POTASSIUM,25 MG TAB 1,,,,,,,,,,,,,25.0,,
10000694,45802066033,100     ,1,53068,31278,0,42455,C,clindamycin phosphate,TOPICAL,CLINDMYCN PHOS,1% FOM 100 GM,1.0,,,,,,,,,,,,100000.0,,
10000698,45802066032,50      ,1,34674,20404,0,27739,C,clindamycin phosphate,TOPICAL,CLINDMYCN PHOS,1% FOM 50 GM,1.0,,,,,,,,,,,,50000.0,,
10000702,00338000403,18X500  ,1,8586,4178,0,7155,C,"water for irrigation,sterile",I,WATER STER IRRG BTL SOL,18X500,,,,,,,,,,,,,,,
10083755,13811051810,100     ,1,12290,6534,0,7945,C,iron fumarate/vit,C/Vit B12/FA,TRIGELS-F FORTE CAP,100,,,,,,,,,,,,,,,
10000716,42858030250,500     ,1,6120,4160,0,5100,C,hydromorphone,HCl ORAL TABLET,HYDROMORPHONE HCL,4 MG TAB 500,,,,,,,,,,,,,4.0,,
10000724,00338004802,24X250  ,1,11119,4929,0,9266,C,sodium chloride irrig solution,,SODIUM CHLORIDE,0.9% IRRIG BTL,0.9,,,,,,,,,,,,,,
10083702,63736033942,4       ,1,1045,657,986,597,N,hydrocortisone,TOPICAL LOTION,DERMAREST LOTION ECZEMA MEDICA,,,,,,,,,,,,,,,,
10000736,66689003150,50X10   ,1,33750,10937,0,27000,C,metoclopramide,HCl ORAL SOLUTI,METOCLOPRAMIDE HCL,10 MG SOL 5,,,,,,,,,,,,,10.0,,
10000743,31604001717,150     ,1,1632,1496,2244,1360,N,ascorbic acid,ORAL TAB CHEW 50,VIT C,500MG TABLET 150CT NAT M,,,,,,,,,,,,,500.0,,
10000746,00173068220,18      ,1,6842,5265,0,5702,N,albuterol sulfate,INHALATION H,VENTOLIN HFA,90 MCG INH 18 GM,,90.0,,,,,,,,,,,18000.0,,
10000747,00450020444,40      ,1,0,2508,3762,2280,N,cetirizine,HCl ORAL CAPSULE 10,ZYRTEC OTC,10MG LIQUIGEL 40CT,,,,,,,,,,,,,10.0,,
